Country/Region,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20
Albany,,,,,,,,,,,,2.0,2.0,5.0,11.0,12.0,23.0,36.0,43.0,61.0,88.0,123.0,127.0,146.0,152.0,171.0,187.0
Allegany,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Broome,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,7.0,9.0,11.0,16.0,18.0
Cayuga,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0
Chautauqua,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
Chemung,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,11.0
Chenango,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
Clinton,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,4.0,4.0,6.0,8.0,10.0,11.0,11.0
Columbia,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,10.0,11.0,12.0,13.0,20.0
Cortland,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,4.0
Delaware,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,7.0,8.0
Dutchess,,,,,,,,,,,,1.0,3.0,4.0,7.0,10.0,16.0,20.0,31.0,36.0,49.0,82.0,100.0,124.0,153.0,190.0,225.0
Erie,,,,,,,,,,,,,,,3.0,6.0,7.0,7.0,28.0,31.0,38.0,54.0,87.0,107.0,122.0,134.0,219.0
Essex,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0
Fulton,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Genesee,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0
Greene,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,6.0
Hamilton,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Herkimer,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,7.0,9.0
Jefferson,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0
Livingston,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
Madison,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,7.0,9.0,17.0
Monroe,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,10.0,11.0,14.0,28.0,32.0,42.0,57.0,76.0,96.0,118.0,139.0,160.0
Montgomery,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0
Nassau,,,,,1.0,4.0,4.0,5.0,17.0,19.0,28.0,41.0,51.0,79.0,98.0,109.0,131.0,183.0,382.0,754.0,1234.0,1900.0,2442.0,2869.0,3285.0,3914.0,4657.0
New York City,1.0,1.0,2.0,2.0,4.0,5.0,12.0,14.0,20.0,37.0,52.0,96.0,155.0,269.0,330.0,464.0,645.0,1339.0,2468.0,4408.0,6211.0,9045.0,12305.0,14905.0,20011.0,23112.0,25399.0
Niagara,,,,,,,,,,,,,,,,,,,,3.0,4.0,6.0,10.0,11.0,12.0,14.0,23.0
Oneida,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,7.0,8.0,9.0,13.0,13.0
Onondaga,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,8.0,17.0,29.0,52.0,60.0,65.0,83.0,115.0
Ontario,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,4.0,6.0,6.0,7.0,9.0,11.0,14.0
Orange,,,,,,,,,,,,1.0,3.0,6.0,6.0,11.0,15.0,32.0,51.0,84.0,163.0,247.0,389.0,498.0,638.0,751.0,910.0
Orleans,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0
Oswego,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,4.0,4.0
Otsego,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,5.0
Putnam,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,7.0,22.0,37.0,45.0,67.0,84.0,94.0,111.0
Rensselaer,,,,,,,,,,,,,,,,,1.0,4.0,4.0,8.0,20.0,26.0,29.0,30.0,31.0,32.0,35.0
Rockland,,,,,,2.0,2.0,2.0,4.0,6.0,6.0,7.0,9.0,12.0,13.0,16.0,22.0,30.0,53.0,101.0,262.0,455.0,592.0,671.0,1069.0,1197.0,1457.0
Saratoga,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,9.0,14.0,14.0,24.0,35.0,41.0,53.0,60.0,64.0,73.0,82.0
Schenectady,,,,,,,,,,,,,1.0,1.0,2.0,4.0,5.0,14.0,21.0,21.0,32.0,39.0,44.0,46.0,55.0,62.0,66.0
Schoharie,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
St. Lawrence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0
Steuben,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,5.0,8.0,11.0,12.0
Suffolk,,,,,,,,1.0,1.0,1.0,6.0,21.0,29.0,41.0,47.0,63.0,84.0,116.0,178.0,371.0,662.0,1034.0,1458.0,1880.0,2260.0,2735.0,3385.0
Sullivan,,,,,,,,,,,,,,,,,1.0,1.0,8.0,8.0,12.0,16.0,23.0,30.0,39.0,53.0,64.0
Tioga,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Tompkins,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,7.0,7.0,11.0,13.0,15.0,16.0,16.0,22.0,26.0
Ulster,,,,,,,,1.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,7.0,8.0,9.0,12.0,12.0,18.0,26.0,35.0,47.0,65.0,89.0,98.0
Warren,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0
Washington,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,6.0
Wayne,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,6.0,6.0,7.0,8.0,11.0
Westchester,,,,9.0,17.0,33.0,69.0,81.0,97.0,107.0,120.0,147.0,157.0,178.0,195.0,219.0,379.0,537.0,797.0,1091.0,1387.0,1873.0,2894.0,3891.0,4691.0,5944.0,7187.0
Wyoming,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0
